Opportunity Name,OP Number,Brand Vertical Classification
MilkPEP: Built with Chocolate Milk Q2-Q4 2017 OP001991,OP001991,
Verizon Zenith US Conscious Project GO IL Q3'21-Q3'22 OP009272,OP009272,Telecommunication
Refuel Kaplan University USA May Q2 2017 OP001989,OP001989,Education
Death Wish Coffee Brand Direct Q3 2017 OP002044,OP002044,CPG
"Airbnb Starcom/APEX USA Head First, Sensible, and Snow Travelers Q4'17 OP002154",OP002154,Travel & Tourism
Sony Music: Kesha OMD Q3 2017 OP002151,OP002151,Arts & Entertainment
Red Gold Tomatoes Clarity Coverdale Fury USA F18 Partnership Q4'17-Q1'18 OP002147,OP002147,CPG/Food & Drink
Olive Garden Starcom/APEX US BOTO - Hispanic Aug. '17 OP002047,OP002047,Quick Service Restaurant (QSR)
Nintendo Blue 449/APEX US Metroid Samus Returns Q3 2017 OP002152,OP002152,Technology & Computing
DPSG Initiative US Clamato Base and World Cup Q2-Q3'18 OP002317,OP002317,CPG/Food & Drink
Akron Children's Hospital Marcus Thomas 2019 Brand Q2'19 OP003289,OP003289,Health & Fitness
Pandora Jewelry Media Plus US Vday Q1'18 OP002486,OP002486,"Retail, Style & Fashion"
FX Assembly US Legion S2 Q1-Q2'18 OP002447,OP002447,Arts & Entertainment
Grupo Bimbo Starcom/APEX US ABO Core Q2-Q4'18 OP002398,OP002398,CPG/Food & Drink
PGA Golf Media Brokers US Awareness Q1-Q3'18 OP002402,OP002402,Sports
Papa Murphy's Media Plus Seattle Q1'18 OP002458,OP002458,CPG/Food & Drink
Instinct Nature's Variety Raw The Richards Group US Q3 17' - Q2 18' OP001985,OP001985,
Novartis Starcom/APEX US Cosentyx AxialSpA HCP Q2-Q4'21 OP008720,OP008720,Health & Fitness
Sony Music US Rent Live & Soundtrack Awareness Q1'19 OP003294,OP003294,Arts & Entertainment
Arby's Initiative US Local COOP Campaign Q1'18 OP002381,OP002381,Quick Service Restaurant (QSR)
Dieste: Goya YouTube Campaign: Q1'18 OP002468,OP002468,CPG/Food & Drink
Amazon Prime Video Initiative US The Tick S2 Trailer Q1'19 OP003291,OP003291,Arts & Entertainment
National Vision Spark/APEX US Eyeglass World Q2-Q4'18 OP002488,OP002488,Health & Fitness
Jack In The Box Carat US Local Digital Event 2 Brunchfast & Secondary Message Q4 2017 OP002327,OP002327,Quick Service Restaurant (QSR)
Pizza Hut Blue 449/APEX US $5.99 Medium 2 Top Q1'18 OP002463,OP002463,Quick Service Restaurant (QSR)
AAA Insurance Spark/APEX US 2019 Brand Campaign Q2'19 OP003349,OP003349,"Business, Finance, Real Estate"
Southern CA Tourism Centro US Schiefer Chopshop Awareness Q3-Q4'18 OP002718,OP002718,Travel & Tourism
KFC Spark/APEX US Value Window - $3.99 Pot Pie TrueView Campaign Q4 '17 - Q1 '18 OP002385,OP002385,Quick Service Restaurant (QSR)
Campbell's Spark/APEX US V8 Energy Q2-Q3'19 OP003288,OP003288,CPG/Food & Drink
Paramount Home Entertainment Wavemaker US Daddy's Home 2 EST Q1'18 OP002412,OP002412,Arts & Entertainment
MilkPEP: Milk Life Q2-Q4 2017 OP001990,OP001990,
FOX TH Zenith/APEX Canada The Post Q4'17-Q1'18 OP002464,OP002464,Arts & Entertainment
Madnetwork.IO ICO Push Q4'17-Q1'18 OP002426,OP002426,Technology & Computing
Taco Bueno ICON US Awareness Q1'18 OP002465,OP002465,Quick Service Restaurant (QSR)
Subway Marlin Network US Doritos Blaze Q1'18 OP002399,OP002399,Quick Service Restaurant (QSR)
"Smucker's Zenith/APEX US JJP (Jams, Jellies, Preserves) FY22 OP008581",OP008581,CPG/Food & Drink
Grupo Bimbo Starcom/APEX US ABO Whole Grains Bread Small Slice Q2-Q3'21 OP008637,OP008637,CPG/Food & Drink
Grupo Bimbo Starcom/APEX US ABO Organics Q2-Q3'18 OP002411,OP002411,CPG/Food & Drink
Too Faced: Natural Collection Q1'18 OP002648,OP002648,"Retail, Style & Fashion"
Prudential US Corporate Social Responsibility Q2-Q3'18 OP002493,OP002493,"Business, Finance, Real Estate"
Paramount Home Entertainment Wavemaker US Annihilation DVD Q2'18 OP002631,OP002631,Arts & Entertainment
Hanes Spark Foundry US Champion Q2'18 OP002549,OP002549,"Retail, Style & Fashion"
United HealthCare Sandbox US Awareness Q2'18 OP002503,OP002503,Health & Fitness
La Prairie AMP US Engagement Q1-Q3'18 OP002445,OP002445,CPG
Arby's Initiative US Local FRAN Campaign Q1'18 OP002461,OP002461,Quick Service Restaurant (QSR)
Epson RFI Zenith/APEX US Printer Office Q2-Q3'18 OP002618,OP002618,"Business, Finance, Real Estate"
Academy Sports + Outdoors Initiative US Summer Q2'18 OP002633,OP002633,"Retail, Style & Fashion"
Honda Delaware Valley Spark/APEX US Piazza Fringe Q2-Q4'18 OP002634,OP002634,Automotive
Qantas Blue 449/APEX US DNSW Q1'18 OP002470,OP002470,Travel & Tourism
Starbucks Spark/APEX US Local Test Greensboro Q2'18 OP002681,OP002681,Quick Service Restaurant (QSR)
Starbucks Spark/APEX US Plus K-Cups Q3'18 OP002507,OP002507,CPG/Food & Drink
OMCA H&L Partners SF Awareness Q2'18 OP002644,OP002644,Education
Sherwin Williams Spark/APEX US Cabot Brand at Lowe's Q2-Q3'18 OP002671,OP002671,Home & Garden
AEB Starcom/APEX US How Do You Like Your Eggs Q1'18 OP002472,OP002472,CPG/Food & Drink
Celtic Midwest Irish Festival Q2-Q3'18 OP002673,OP002673,Society
Ralph Lauren Digitas/APEX US Lauren Q3'21-Q1'22 OP008636,OP008636,"Retail, Style & Fashion"
Nintendo Blue 449/APEX US Switch Momentum Kids Flight 2 Bumpers Q1-Q2'18 OP002638,OP002638,Technology & Computing
Click It or Ticket Media Brokers US Awareness Q2'18 OP002674,OP002674,Education
Sony Music: Dominican Sisters of Mary US Q4 2017 OP002396,OP002396,Arts & Entertainment
Paramount Home Entertainment Wavemaker US Daddy's Home 2 DVD Q1'18 OP002485,OP002485,Arts & Entertainment
Kenneth Cole Brand Direct US Q2'21  OP008703,OP008703,"Retail, Style & Fashion"
Spin Master Initiative US Perplexus Q4'18 OP002611,OP002611,CPG
Starbucks Spark/APEX US Visa Rewards Q2-Q3'18 OP002547,OP002547,Quick Service Restaurant (QSR)
Nintendo Blue 449/APEX US Switch Momentum Teens Q1-Q2'18 OP002617,OP002617,Technology & Computing
Reliant Energy Blue 449/APEX US Google Mini Home Security Q2-Q3'18 OP002641,OP002641,Energy Oil/Gas
Sherwin Williams Spark/APEX US Cabot Brand Q2-Q3'18 OP002668,OP002668,Home & Garden
Spin Master Initiative US Twisty Petz Q3-Q4'18 OP002604,OP002604,CPG
Novartis Starcom/APEX US Entresto :60 and Trailers Q4 2017 OP001981,OP001981,Health & Fitness
Pizza Hut Blue 449/APEX US $7.99 Q4 2017 OP002380,OP002380,Quick Service Restaurant (QSR)
ARK.io Blockchain Global Awareness Campaign Q1'18 OP002602,OP002602,Technology & Computing
Nintendo Blue 449/APEX US Switch Momentum Kids Flight 2 Q1-Q2'18 OP002637,OP002637,Technology & Computing
Waves Platform Blockchain Global Digital Campaign Q1-Q2'18 OP002543,OP002543,Technology & Computing
Paramount Home Entertainment Wavemaker US Annihilation EST Q2'18 OP002630,OP002630,Arts & Entertainment
Dairy Queen Spark/APEX US Mother's Day + Father's Day Cakes Q2'18 OP002683,OP002683,Quick Service Restaurant (QSR)
Bushmills Irish Whiskey Arena Media US St. Patrick's Day Q2'18 OP002530,OP002530,Alcohol/LDA
Vail Resorts Centro US Summer Teen Tourism Q2-Q3'18 OP002542,OP002542,Travel & Tourism
Kellogg's Starcom/APEX US Cheez-it Duoz Q1'19 OP002946,OP002946,CPG/Food & Drink
Spin Master Initiative US Party Popteenies Q2-Q4'18 OP002605,OP002605,CPG
Spin Master Initiative US Cool Maker Q1-Q2'18 OP002578,OP002578,CPG
Spin Master Initiative US Flush Force Q1'18 OP002492,OP002492,CPG
Confidential Client 72andSunny US Awareness Q1'18 OP002454,OP002454,Arts & Entertainment
Nintendo Blue 449/APEX US Switch Momentum Parents Q1-Q2'18 OP002620,OP002620,Technology & Computing
DPSG Initiative US Snapple Straight Up Tea Q2-Q4'18 OP002612,OP002612,CPG/Food & Drink
Three Olives Vodka Arena Media US Flavors Q2?18 OP002603,OP002603,Alcohol/LDA
CA Lottery Casanova CA Super Lotto Plus Spotlight Q2'18 OP002678,OP002678,"Law, Govt & Politics"
Got Milk MBMG CA California Milk Processing Board Q1'18 OP002495,OP002495,CPG/Food & Drink
Hanes Spark Foundry US Scatter Comfort Flex Fit Q2'18 OP002679,OP002679,"Retail, Style & Fashion"
eBay Blue 449/APEX US Spring Seller Q1-Q2'18 OP002506,OP002506,"Retail, Style & Fashion"
Smucker's RFI Carat US Awareness Q2'18 OP002658,OP002658,CPG
CA Lottery Casanova CA Jackpot Alerts Q1-Q2'18 OP002462,OP002462,Arts & Entertainment
Kohl's RFI Zenith/APEX US Awareness Q4'18-Q3'19 OP002720,OP002720,"Retail, Style & Fashion"
Honda Delaware Valley Spark/APEX Philly Non-Event CPO Q2-Q4'18 OP002632,OP002632,Automotive
Nintendo Blue 449/APEX US Switch Momentum Teens Flight 2 Bumpers Q1-Q2'18 OP002640,OP002640,Technology & Computing
Spin Master_Direct_US Mighty Express Q2'21 Incremental OP008721,OP008721,"Retail, Style & Fashion"
Apple OMD US_AQ321 ATV+ Brand Log Lines_ILAAS Q2'21 OP008509,OP008509,Arts & Entertainment
Tencent Games VS Media US and Canada Arena of Valor Q2-Q4'18 OP002502,OP002502,Arts & Entertainment
Deep Eddy Vodka Xenopsi US Millennials Q2-Q4'18 OP002534,OP002534,Alcohol/LDA
Kraft Starcom/APEX US Oscar Mayer P3 Protein Packs Q2'18 OP002536,OP002536,CPG/Food & Drink
Sony OMD US Pentatonix Top Pop Vol. 1 Album Q2'18 OP002688,OP002688,Arts & Entertainment
VibeHub.IO Blockchain Brand Direct Q2'18 OP002686,OP002686,Technology & Computing
New York Life Spark Foundry/APEX US Family Audience Q1-Q2'18 OP002476,OP002476,"Business, Finance, Real Estate"
Edgewell Publicis/APEX US Playtex Q3'21 OP008749,OP008749,CPG
MMRF Tribeca Film USA Q2 2017 OP001940,OP001940,Arts & Entertainment
Hasbro OMD US Lost Kitties Q2-Q3'18 OP002544,OP002544,CPG
Spin Master Initiative US Tech Deck 20th Anniversary Q3-Q4'18 OP002593,OP002593,CPG
Toyota H&L Partners US Norcal 2018 Winter Olympics Q1'18 OP002444,OP002444,Automotive
19 Crimes Baru USA Q3 17 - Q1 18 OP001923,OP001923,Alcohol/LDA
Lowe's Starcom/APEX US AOP MDV PRO Q1-Q2'18 OP002526,OP002526,Home & Garden
UCSF Palisades Media US Adult Spring Q2'18 OP002594,OP002594,Health & Fitness
Honda Powersports Initiative US FY'22 Gold Wing  OP008506,OP008506,Automotive
CDC Centers for Disease Control and Prevention Publicis/APEX US Tips from Former Smokers Q2-Q4'18 OP002539,OP002539,Health & Fitness
Honda Spark/APEX NY TriHonda NYC Clarity Hybrid Q2'18 OP002601,OP002601,Automotive
Spin Master Initiative USA Hatchimals Colleggtibles Q4 2017 OP002384,OP002384,CPG
Spin Master Initiative US Tech Deck Q1'18 OP002504,OP002504,CPG
Far East Movement Transparent Agency Dumbfoundead Promotion Worldwide Q4'17-Q1'18 OP002424,OP002424,Arts & Entertainment
Grupo Bimbo Starcom/APEX US Barcel Takis Q2-Q4'18 OP002538,OP002538,CPG/Food & Drink
L'Oreal Sizmek Puerto Rico Hair Care Products Q2'18 OP002586,OP002586,CPG
Jack In The Box Carat US National Digital Event 2 Brunchfast & Secondary Message Q4 2017 OP002432,OP002432,Quick Service Restaurant (QSR)
Lego Initiative US What Would You Build Q1'18 OP002477,OP002477,CPG
Apple OMD US Retail Enterprise ILAAMS Q3'20 OP005135,OP005135,Technology & Computing
Lowe's Starcom/APEX US AOP MDV LWN Q1-Q2'18 OP002521,OP002521,Home & Garden
Missouri Tourism H&L Partners Midwest Q2'18 OP002667,OP002667,Travel & Tourism
Dollywood KSM Media Atlanta Summer Break Q2-Q3'18 OP002695,OP002695,Travel & Tourism
Beverly Hills Tourism Baak Media US Awareness Campaign Q2'18 OP001992,OP001992,Travel & Tourism
eBay Blue 449/APEX US Under $10 Campaign Q2'18 OP002732,OP002732,"Retail, Style & Fashion"
Nature's Way Spark US Alive Q1-Q2'19 OP003169,OP003169,Health & Fitness
Mars/Wrigley Starcom US M&Ms Caramel Walmart Q2-Q3'17 OP001964,OP001964,CPG/Food & Drink
NatureSweet Icon Int. US OLV Brand Campaign Q2'21 OP008586,OP008586,CPG/Food & Drink
Vizio Palisades Media USA M&P Series Q4 2017 OP001958,OP001958,Technology & Computing
Cineworld APEX UK Awareness Q2'18 OP002663,OP002663,Arts & Entertainment
USA Green Solar Technologies Q2 2017 OP002039,OP002039,Technology & Computing
DPSG: Dr. Pepper Initiative US College Football Q3-Q4'17 OP002042,OP002042,CPG/Food & Drink
Simon Malls Blue 449 NY/APEX US MILLS Q3-Q4'18 OP002656,OP002656,"Retail, Style & Fashion"
Lifestyles AMP USA Q1-Q4 2018 OP001984,OP001984,Health & Fitness
Washington Labor and Industry Media Plus USA Q4 2017 OP001967,OP001967,"Law, Govt & Politics"
Ally Financial Spark US Hardest Working Dollar Q2-Q3'17 OP001974,OP001974,"Business, Finance, Real Estate"
Hallmark Channel Zenith/APEX US Countdown to Christmas Q4'17 OP002053,OP002053,Arts & Entertainment
Starbucks Spark/APEX US Teavana RTD Q3'18 OP002735,OP002735,CPG/Food & Drink
Jelly Belly Nice & Company US Sports Beans Q2-Q4'18 OP002664,OP002664,CPG/Food & Drink
United HealthCare Sandbox US Medicare Made Clear Q2-Q3'18 OP002676,OP002676,Health & Fitness
Pizza Hut Blue 449/APEX US Flash Sale 3 Q2'18 OP002693,OP002693,Quick Service Restaurant (QSR)
Jack In The Box Horizon Media US Smoky Jack Streaming Q3 2017 OP002107,OP002107,Quick Service Restaurant (QSR)
CTCA Assembly Q4 2017 OP002124,OP002124,Health & Fitness
Prudential TDF USA Q4 2017 OP002318,OP002318,"Business, Finance, Real Estate"
Abbott Promatica Q3 2017 OP002038,OP002038,Health & Fitness
CA Natural Gas Vehicle Coalition/ Clean Energy ICG Worldwide US Q3 2017 OP002091,OP002091,
UnitedHealthcare Y Marketing US MS Display Q2-4 2017 OP001988,OP001988,Health & Fitness
Wingstop OLV/APEX Chicago DMA Q2-Q3'21 OP008897,OP008897,Quick Service Restaurant (QSR)
Kiwano Q3 2017 OP002090,OP002090,Technology & Computing
KFC Spark/APEX USA $10 Original Recipe  Q3-Q4 2017 OP002199,OP002199,Quick Service Restaurant (QSR)
Whirlpool APEX US Brand Campaign Q3'21 OP008997,OP008997,Home & Garden
Red Lobster Spark/APEX US Event 3: Endless Shrimp Q4'17 OP002115,OP002115,Quick Service Restaurant (QSR)
Pizza Hut Blue 449/ APEX US Flash Sale 5 Q3 2017 OP002198,OP002198,Quick Service Restaurant (QSR)
Kenny Kakaty Awareness Q3 2017 OP002036,OP002036,Arts & Entertainment
Mars/Wrigley Starcom/APEX US Booing Q3 2017 OP001983,OP001983,CPG
Subaru Carmichael Lynch USA Proactive Outback RFP Q4'17 OP002130,OP002130,Automotive
Electrolit Casanova/McCann US Q2-Q3 2017 OP001982,OP001982,
Crystal Farms GdB USA Proactive Simply Potatoes Q4' 17 OP002114,OP002114,CPG/Food & Drink
Agency Division US Milan Institute Campaign 2021 OP008588,OP008588,Education
AEB Starcom/APEX US Egg Challenge Q2'17 OP001980,OP001980,"Business, Finance, Real Estate"
Grupo Bimbo Starcom/APEX US Entenmann's Little Bites FY'18 OP002197,OP002197,CPG
Wingstop Starcom/APEX US Heavy QSR Q2'21 OP008968,OP008968,Quick Service Restaurant (QSR)
TikTok Zenith/APEX US Media Campaign Awareness FY21/FY22 Q3'21-Q3'22 OP008522,OP008522,Arts & Entertainment
CDW Ogilvy US IT Decision Makers ILAAS Q3'20 OP005110,OP005110,Technology & Computing
Bloodworks Media Plus+ USA Bloodworks Ball Q2'17 OP001987,OP001987,Marketing & Media Services
SAP Health Germany Q3-Q4 2017 OP002129,OP002129,Quick Service Restaurant (QSR)
Health Ade Kombucha Smart Media Tech US GO Test Q2-Q3'2021 OP008909,OP008909,CPG/Food & Drink
New Health/Fitness Business The Richards Group US Q3-Q4 2017 OP002134,OP002134,Health & Fitness
KIKA IP Influencer Campaign OP001925,OP001925,Technology & Computing
Matterport  US Q2 2017 OP002041,OP002041,Technology & Computing
Herman Law CAMG CA Only Sexual Abuse Victim Campaign Guaranteed Outcomes Q2-Q3'2021 OP008561,OP008561,"Law, Govt & Politics"
Taco Bueno ICON US Q3-Q4 2017 OP002138,OP002138,
Starbucks Spark/APEX US Veterans Program Q3'17 OP002133,OP002133,Quick Service Restaurant (QSR)
Lionsgate Mindshare US Boo! 2 Madea Halloween Q3-Q4 2017 OP002119,OP002119,Arts & Entertainment
Jack In The Box Horizon Media US Smoky Jack Local Digital Q3 2017 OP002108,OP002108,Quick Service Restaurant (QSR)
Starbucks Spark USA Veterans Program PROACTIVE Q3'17 OP002132,OP002132,CPG/Food & Drink
Qantas Blue 449/APEX US Q3 2017 OP002106,OP002106,Travel & Tourism
Lionsgate Jigsaw Q4 2017 OP002136,OP002136,Arts & Entertainment
Lionsgate American Assassin OP002135,OP002135,Arts & Entertainment
STOPASIANHATE MC JIN & Kids Unite US Q2'21 OP008242 OP008899,OP008899,Charitable Foundations
AEB Starcom/APEX US Back To School Q3'17 OP002139,OP002139,"Business, Finance, Real Estate"
Lionsgate My Little Pony Q4 2017 OP002137,OP002137,Arts & Entertainment
Apple OMD US_AQ321 ATV+ Trying S2_ILAAS Q2'21 OP008451,OP008451,Arts & Entertainment
National Vision Spark/APEX Media US Hispanic OLV Q4 2017 OP002123,OP002123,Health & Fitness
Penn Station Subs EchoPoint Media US Now Hiring Q2'21 OP008686,OP008686,Quick Service Restaurant (QSR)
Novartis Starcom/APEX US Cosentyx PsO Q3-Q4 2017 OP002141,OP002141,Health & Fitness
"Mackenzie Sol ""Laugh"" Social Share  Q3 2017 OP002104",OP002104,Arts & Entertainment
The Many US Full Throttle Energy Drink Q2-Q3'19 OP003384,OP003384,CPG/Food & Drink
Disney Channel Horizon US Whitelist Just Roll With It Q2-Q3'19 OP003382,OP003382,Arts & Entertainment
Brown Forman Spark/APEX US el Jimador FY'20 Campaign Q2'19-Q2'20 OP003389,OP003389,Alcohol/LDA
Sprouts Farmer's Market Starcom/APEX USA Traffic Promo OLV Q2 '19 OP003388,OP003388,CPG/Food & Drink
Paramount Home Entertainment Wavemaker US Jack Ryan DVD Q2'19 OP003385,OP003385,Arts & Entertainment
Honda Powersports Initiative US FY'20 Talon Campaign Q2'19-Q4'19 OP003386,OP003386,Automotive
Grupo Bimbo Starcom/APEX Canada Dempster's Tortillas Q2'19 OP003390,OP003390,CPG/Food & Drink
Honda Delaware Valley Spark/APEX US Boardwalk Fringe Spring/Summer/Winter Event FY'19 OP003401,OP003401,Automotive
Cepia Bananas Toy US Easter Leadup Q2'19 OP003395,OP003395,CPG
Honda Delaware Valley Spark/APEX US Hamilton Spring/Summer Event Q1-Q2'19 OP003402,OP003402,Automotive
Honda Delaware Valley Spark/APEX US Price Fringe Spring/Summer/Winter Event FY'19 OP003404,OP003404,Automotive
Honda Delaware Valley Spark/APEX US Avalon Fringe Spring/Summer/Winter Event FY'19 OP003400,OP003400,Automotive
Honda Powersports Initiative US FY'20 Gold Wing Q2'19-Q1'20 OP003408,OP003408,Automotive
OB Tampon ForwardPMX DMAs Awareness Q2'19 OP003410,OP003410,CPG
Sprouts Farmer's Market Starcom/APEX USA Trend Promo OLV Q2-Q4'19 OP003393,OP003393,CPG/Food & Drink
Honda Delaware Valley Spark/APEX US Lehigh Valley Spring/Summer/Winter Event FY'19 OP003403,OP003403,Automotive
ABC News Horizon US The Dropout Theranos Q2'19 OP003407,OP003407,Arts & Entertainment
FDA Initiative US One Leaves Q1-Q2'19 OP003406,OP003406,Health & Fitness
Hartz Icon Int. DMA Flea & Tick Q2-Q3'19 OP003409,OP003409,CPG
Grupo Bimbo Starcom/APEX US Takis Q2-Q4'19 OP003411,OP003411,CPG/Food & Drink
Shamrock Farms Campbell Ewald US Rockin Protein Q2'19-Q1'20 OP003392,OP003392,CPG/Food & Drink
Nike Publicis Sapient Razorfish US World Cup Kids Q2'19 OP003397,OP003397,Health & Fitness
Grupo Bimbo Starcom/APEX US Sara Lee White Bread Q2-Q3'19 OP003428,OP003428,CPG/Food & Drink
Quest Nutrition The Many US Awareness Q2'19 OP003427,OP003427,CPG/Food & Drink
Academy Sports + Outdoors Initiative US Summer Campaign Q2'19 OP003412,OP003412,Sports
Ralph Lauren/APEX US Polo Family Awareness Q2'19 OP003429,OP003429,"Retail, Style & Fashion"
Sprouts Farmer's Market Starcom/APEX USA Flash Sale Promo OLV Q2-Q4'19 OP003394,OP003394,CPG/Food & Drink
Apple OMD US_ iPhone Pro 13 Product Film_ILAAS Q3'21 OP010663,OP010663,Technology & Computing
Apple OMD US ATV+ The Problem with Jon Stewart_ILAAMS Q4'21 OP010666,OP010666,Arts & Entertainment
Apple OMD US ATV+ Acapulco_ILAAMS Q3'21 OP010662,OP010662,Arts & Entertainment
Anthem Starcom/APEX US Medicare Q4'19 OP003742,OP003742,Health & Fitness
Apple OMD US ATV+ Invasion ILAAMS Q4'21 OP010667,OP010667,Arts & Entertainment
Lactalis RFI APEX Galbani Cheese US Q3'19 OP003459,OP003459,CPG/Food & Drink
Click It or Ticket Media Brokers Alabama Memorial Day Q2'19 OP003452,OP003452,Education
Susan G Komen/APEX US Breast Cancer Awareness Q4'19 OP003438,OP003438,Health & Fitness
Del Monte Starcom/APEX US Veggieful Bites & Grain Bowls Q3'19-Q1'19 OP003457,OP003457,CPG/Food & Drink
Channel Science ILAAS_Electrolux Q4'21 Brand  Campaign OP010717,OP010717,"Retail, Style & Fashion"
eBay Blue449/APEX US BDYCE Q2'19 OP003442,OP003442,"Retail, Style & Fashion"
Del Monte Starcom/APEX US Fruit Crunch Parfait Q3'19-Q1'20 OP003454,OP003454,CPG/Food & Drink
Apple OMD US ATV+ Acapulco_ILAAMS Q4'21 OP010731,OP010731,Arts & Entertainment
Del Monte Starcom/APEX US Bubble Fruit Q3'19-Q1'20 OP003455,OP003455,CPG/Food & Drink
Southwest Airlines Spark Foundry Hawaii On Island Lihue Q4'19 OP003462,OP003462,Travel & Tourism
Southwest Airlines Spark Foundry SMF AREA Q3-Q4'19 OP003443,OP003443,Travel & Tourism
Apple OMD US_Papaya iPhone Carriers_ILAAS Q4'21 OP010729,OP010729,Technology & Computing
Apple OMD US ATV+ Morning Show S2 Platform Release ILAAMS Q4'21 OP010732,OP010732,Arts & Entertainment
Amazon Prime Video Initiative US Fleabag S2 Q2'19 OP003458,OP003458,Arts & Entertainment
Apple OMD US_iPhone Papaya #2_ILAAS Q4'21 OP010730,OP010730,Technology & Computing
FCA Starcom US Chrysler Pacifica Q2'19 OP003430,OP003430,Automotive
Enbridge RFI Publicis/APEX Minnesota Phase 4 Q3-Q421 OP010724,OP010724,Energy Oil/Gas
StubHub Starcom/APEX US Go Local Campaign Q2-Q3'19 OP003470,OP003470,Arts & Entertainment
Enbridge RFI Publicis/APEX Wisconsin Phase 4 Q3-Q4'21 OP010723,OP010723,Energy Oil/Gas
Eisai Dayvigo PHM Media/APEX US Brand Campaign Q4'21-Q1'22 OP010661,OP010661,Health & Fitness
Early Learning IN EchoPoint Media US Safe Return to School and Daycare Campaign FY'21 OP005590,OP005590,Education
Apple OMD US ATV+ Ted Lasso S2 Finale_ILAAMS Q4'21 OP010664,OP010664,Arts & Entertainment
Paramount Home Entertainment Wavemaker US Wonder Park DVD Q2'19 OP003436,OP003436,Arts & Entertainment
Del Monte Starcom/APEX US AFC & PFC Growers of Good Q3'19-Q1'20 OP003456,OP003456,CPG/Food & Drink
Paramount Home Entertainment Wavemaker US Wonder Park EST Q2'19 OP003435,OP003435,Arts & Entertainment
Pizza Hut Blue 449/APEX US Local Market Comparison Test Q2-Q3'19 OP003463,OP003463,Quick Service Restaurant (QSR)
CDPHE Amelie Company US Opioid Campaign Q2'19-Q3'20 OP003461,OP003461,Education
StubHub Starcom/APEX US Brand Campaign Q3-Q4'19 OP003434,OP003434,Arts & Entertainment
Napa Spark/APEX US Holiday Q4'19 OP003469,OP003469,Automotive
PUR Spark Foundry/APEX US Awareness WLAAMS FY'21 (Q2'20-Q1'21) OP004379,OP004379,CPG
Brown Forman Spark/APEX US Slane Irish Whiskey Q4'19-Q1'20 OP003466,OP003466,Alcohol/LDA
Schick ForwardPMX US HydroStyle Q3'20 OP004962,OP004962,CPG
Sparkling Ice Spark/APEX US Sparkling Ice Awareness Q3'20 OP004961,OP004961,CPG/Food & Drink
Citi Starcom/APEX US Enterprise Current Events OP004953,OP004953,"Business, Finance, Real Estate"
Monster Energy Publicis/APEX US Ultra Fiesta & Rosa Q3'20 OP004963,OP004963,CPG/Food & Drink
Lenovo Spark/APEX US Legion + Yoga Q3'20-Q1'21 OP004955,OP004955,Technology & Computing
Starbucks Starcom/APEX US Summer II Q3'20 OP004952,OP004952,Quick Service Restaurant (QSR)
Variis WPromote Variis by Equinox ILAAS Q3'20 OP004959,OP004959,Hobbies & Interests
IUPUI Echopoint Media US DVP Spring Development Q2'20 OP004954,OP004954,"Business, Finance, Real Estate"
Lenovo Spark/APEX US REL & SMB Q3'20-Q1'21 OP005001,OP005001,Technology & Computing
Capcom PowerPhyl US Resident Evil Q3'20 OP005002,OP005002,Technology & Computing
American Cancer Society Publicis/APEX US Awareness 2H20 (Q4'20) OP004973,OP004973,Charitable Foundations
Campbell's Spark/APEX US Chunky Q3'20 OP005009,OP005009,CPG/Food & Drink
Campbell's Spark/APEX US Swanson Q2'21 (originally Q4'20) OP005007,OP005007,CPG/Food & Drink
Paddletek EchoPoint Media US Paddletek Awareness Q3 2020 OP005008,OP005008,Sports
Great Wolf Lodge Spark Foundry/APEX DMAs Manteca Q1'21 (ILAAMS) OP005031,OP005031,Travel & Tourism
Indiana University Online EchoPoint US Summer Undergrad Campaign Q3'20 OP005049,OP005049,Education
Grupo Bimbo Starcom/APEX US ABO Organics Bread Q1'21 OP005019,OP005019,CPG/Food & Drink
Pizza Hut Blue 449/APEX US 9.99 Split Cell Test Q2-Q3'20 OP005052,OP005052,Quick Service Restaurant (QSR)
Merrick Publicis/APEX US BBQ Dog Food Q3'20 OP005028,OP005028,CPG
Grupo Bimbo Starcom/APEX US ABO Organics (Kids) Q1'21 OP005039,OP005039,CPG/Food & Drink
Universal Pictures Essence US The Croods 2 Q3-Q4'20 OP005032,OP005032,Arts & Entertainment
Greenleaf Starcom/APEX Florida Brand RFI Q3'20 OP005051,OP005051,CPG/Food & Drink
Mattel Spark US Kids Campaign ILAAS Q3-Q4'21 OP009828,OP009828,Health & Fitness
Apple OMD US_ Mac - Final Rose_ILAAS Q2'21 OP008421,OP008421,Technology & Computing
Grupo Bimbo Starcom/APEX US ABO Wholegrain FY'21 OP005404,OP005404,CPG/Food & Drink
Apple OMD US ATV GreyHound ILAAMS Q2'20 OP005053,OP005053,Arts & Entertainment
Discover Financial Spark/APEX US Reach Nov-Dec Q4'20 OP005617,OP005617,"Business, Finance, Real Estate"
Luminary Podcast Man Ray Media US Awareness Campaign Q3'20 OP005062,OP005062,Arts & Entertainment
Apple OMD US_ATV+ For All Mankind S2_ILAAMS Q3'20 OP005405,OP005405,Arts & Entertainment
Chef Merito Seasonings Sensis DMAs Brand Awareness Q4'20 OP005395,OP005395,CPG/Food & Drink
Goodwill EchoPoint Indiana The Excel Center Q3'20 OP005059,OP005059,Charitable Foundations
